date,Demand,tipo,conf_lower,conf_upper
1979-07-01,213957.0,real,,
1979-11-01,203728.0,real,,
1980-01-01,196000.0,real,,
1980-03-01,198589.0,real,,
1980-06-01,199717.0,real,,
1980-07-01,209022.0,real,,
1980-11-01,187006.0,real,,
1981-01-01,199366.0,real,,
1981-03-01,195382.0,real,,
1981-06-01,210834.0,real,,
1981-07-01,211513.0,real,,
1981-11-01,191184.0,real,,
1982-01-01,184779.0,real,,
1982-03-01,200459.0,real,,
1982-06-01,205058.0,real,,
1982-07-01,210502.0,real,,
1982-11-01,197234.0,real,,
1983-01-01,187573.0,real,,
1983-03-01,211909.0,real,,
1983-06-01,209807.0,real,,
1983-07-01,209728.0,real,,
1983-11-01,198092.0,real,,
1984-01-01,194200.0,real,,
1984-03-01,202372.0,real,,
1984-06-01,213203.0,real,,
1984-07-01,211734.0,real,,
1984-11-01,203999.0,real,,
1985-01-01,196799.0,real,,
1985-03-01,206588.0,real,,
1985-06-01,209902.0,real,,
1985-07-01,217255.0,real,,
1985-11-01,203105.0,real,,
1986-01-01,201560.0,real,,
1986-03-01,215599.0,real,,
1986-06-01,216274.0,real,,
1986-07-01,230501.0,real,,
1986-11-01,206367.0,real,,
1987-01-01,202580.0,real,,
1987-03-01,215891.0,real,,
1987-06-01,226184.0,real,,
1987-07-01,235018.0,real,,
1987-11-01,214540.0,real,,
1988-01-01,207478.0,real,,
1988-03-01,227007.0,real,,
1988-06-01,234515.0,real,,
1988-07-01,231938.0,real,,
1988-11-01,221355.0,real,,
1989-01-01,209090.0,real,,
1989-03-01,230053.0,real,,
1989-06-01,233412.0,real,,
1989-07-01,226181.0,real,,
1989-11-01,220589.0,real,,
1990-01-01,205940.0,real,,
1990-03-01,227469.0,real,,
1990-06-01,225557.0,real,,
1990-07-01,232362.0,real,,
1990-11-01,217239.0,real,,
1991-01-01,205986.0,real,,
1991-03-01,217529.0,real,,
1991-06-01,223677.0,real,,
1991-07-01,234398.0,real,,
1991-11-01,210246.0,real,,
1992-01-01,212927.0,real,,
1992-03-01,221241.0,real,,
1992-06-01,223790.0,real,,
1992-07-01,236795.0,real,,
1992-11-01,213052.0,real,,
1993-01-01,205801.0,real,,
1993-03-01,229070.0,real,,
1993-06-01,231000.0,real,,
1993-07-01,241325.0,real,,
1993-11-01,225982.0,real,,
1994-01-01,216382.0,real,,
1994-03-01,229243.0,real,,
1994-06-01,237664.0,real,,
1994-07-01,244419.0,real,,
1994-11-01,223924.0,real,,
1995-01-01,222059.0,real,,
1995-03-01,241413.0,real,,
1995-06-01,246610.0,real,,
1995-07-01,244514.0,real,,
1995-11-01,235975.0,real,,
1996-01-01,225398.0,real,,
1996-03-01,241548.0,real,,
1996-06-01,242641.0,real,,
1996-07-01,253124.0,real,,
1996-11-01,237439.0,real,,
1997-01-01,226340.0,real,,
1997-03-01,241671.0,real,,
1997-06-01,248636.0,real,,
1997-07-01,263361.0,real,,
1997-11-01,238939.0,real,,
1998-01-01,236144.0,real,,
1998-03-01,248109.0,real,,
1998-06-01,255612.0,real,,
1998-07-01,269091.0,real,,
1998-11-01,245001.0,real,,
1999-01-01,238740.0,real,,
1999-03-01,251957.0,real,,
1999-06-01,266579.0,real,,
1999-07-01,277189.0,real,,
1999-11-01,247203.0,real,,
2000-01-01,237235.0,real,,
2000-03-01,257464.0,real,,
2000-06-01,264735.0,real,,
2000-07-01,267906.0,real,,
2000-11-01,251518.0,real,,
2001-01-01,251077.0,real,,
2001-03-01,264496.0,real,,
2001-06-01,260694.0,real,,
2001-07-01,279714.0,real,,
2001-11-01,260304.0,real,,
2002-01-01,255039.0,real,,
2002-03-01,268320.0,real,,
2002-06-01,274204.0,real,,
2002-07-01,283440.0,real,,
2002-11-01,264858.0,real,,
2003-01-01,260819.0,real,,
2003-03-01,266652.0,real,,
2003-06-01,275105.0,real,,
2003-07-01,284942.0,real,,
2003-11-01,268366.0,real,,
2004-01-01,269855.0,real,,
2004-03-01,279745.0,real,,
2004-06-01,279654.0,real,,
2004-07-01,290081.0,real,,
2004-11-01,271654.0,real,,
2005-01-01,273190.0,real,,
2005-03-01,278801.0,real,,
2005-06-01,281178.0,real,,
2005-07-01,295548.0,real,,
2005-11-01,273452.0,real,,
2006-01-01,274021.0,real,,
2006-03-01,280689.0,real,,
2006-06-01,284350.0,real,,
2006-07-01,297822.0,real,,
2006-11-01,277331.0,real,,
2007-01-01,275451.0,real,,
2007-03-01,284506.0,real,,
2007-06-01,284741.0,real,,
2007-07-01,298827.0,real,,
2007-11-01,276876.0,real,,
2008-01-01,273106.0,real,,
2008-03-01,281053.0,real,,
2008-06-01,273291.0,real,,
2008-07-01,283643.0,real,,
2008-11-01,267115.0,real,,
2009-01-01,267311.0,real,,
2009-03-01,275985.0,real,,
2009-06-01,275395.0,real,,
2009-07-01,287073.0,real,,
2009-11-01,267169.0,real,,
2010-01-01,264106.0,real,,
2010-03-01,272578.0,real,,
2010-06-01,279329.0,real,,
2010-07-01,288327.0,real,,
2010-11-01,264478.0,real,,
2011-01-01,259475.0,real,,
